date,title,text,retweets
2000-07-09,Sample Title 20,Bitcoin to the moon!,15
2000-05-20,Sample Title 15,Exciting news! Huge gains expected soon.,31
2000-04-20,Sample Title 12,Tough loss today in the crypto market.,9
2000-01-31,Sample Title 4,Considering selling my holdings today.,19
2000-06-29,Sample Title 19,The market seems bearish; might need to sell.,11
2000-01-11,Sample Title 2,Watching Bitcoin closely; could go either way.,36
2000-05-10,Sample Title 14,Things are looking up for crypto investments!,37
2000-02-20,Sample Title 6,Things are looking up for crypto investments!,27
2000-03-11,Sample Title 8,What a profitable day! Lots of gains.,43
2000-04-10,Sample Title 11,Maybe should have waited before buying.,47
2000-03-21,Sample Title 9,Considering selling my holdings today.,45
2000-02-10,Sample Title 5,Looks like Bitcoin is crashing... again.,38
2000-03-11,Sample Title 8,What a profitable day! Lots of gains.,43
2000-03-31,Sample Title 10,"Lost some money today, but hopeful for tomorrow.",27
2000-01-21,Sample Title 3,"Lost some money today, but hopeful for tomorrow.",49
2000-06-19,Sample Title 18,Looks like Bitcoin is crashing... again.,26
2000-03-01,Sample Title 7,"Lost some money today, but hopeful for tomorrow.",39
2000-03-21,Sample Title 9,Considering selling my holdings today.,45
2000-01-01,Sample Title 1,The market is unpredictable right now.,0
2000-01-21,Sample Title 3,"Lost some money today, but hopeful for tomorrow.",49
2000-05-30,Sample Title 16,Considering selling my holdings today.,29
2000-01-01,Sample Title 1,The market is unpredictable right now.,0
2000-06-09,Sample Title 17,Strong buy signals today! Feeling optimistic.,16
2000-04-30,Sample Title 13,Tough loss today in the crypto market.,8
2000-06-29,Sample Title 19,The market seems bearish; might need to sell.,11
